"Module Name","total_tables"
"Module A - Core HR","13"
"Module B - Payroll","8"
"Module D - Recruitment","6"
"Module E - Performance","6"
"Module M5 - Analytics","6"
"Module J3 - Execution","5"
"Module F1 - General Ledger","5"
"Module M1 - Asset Master","5"
"Module F - Training","5"
"Module J2 - Planning","5"
"Module M3 - Execution","5"
"Module C - Time & Attendance","5"
"Module F5 - Financial Reporting","4"
"Module M1 - Product Definition","4"
"Module C1 - Customer Data","4"
"Module P2 - Procurement","4"
"Module C3 - Customer Service","4"
"Module C4 - Marketing","4"
"Module C2 - Sales Pipeline","4"
"Module I1 - Inventory Master","4"
"Module F4 - Fixed Assets","4"
"Module S2 - Order Processing","4"
"Module I2 - Inventory Control","4"
"Module J1 - Project Setup","4"
"Module F3 - Accounts Receivable","4"
"Module C5 - Analytics","3"
"Module S1 - Customer Management","3"
"Module I4 - Inventory Valuation","3"
"Module M3 - Maintenance","3"
"Module M2 - Planning","3"
"Module I3 - Lot/Serial Tracking","3"
"Module M2 - Lifecycle","3"
"Module P3 - Inventory","3"
"Module P1 - Vendor Management","3"
"Module I5 - Inventory Analytics","3"
"Module M4 - Tracking","3"
"Module J5 - Analytics","3"
"Module M4 - Costing","3"
"Module J4 - Monitoring","3"
"Module S4 - Analytics","2"
"Module S3 - Pricing","2"
"Module H - Analytics","2"
"Module F2 - Accounts Payable","2"
"Module P4 - Analytics","1"
